project_number,bidder_name,address,city,state,zip,county,bidder_number,bid_amount,filename,awarded
180014,BURTON SCOT CONTRACTORS LLC,11330 KINSMAN RD,NEWBURY,OH,44065,Geauga,7,1368003.4,180014bidtab.pdf,False
180020,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,1,553756.0,180020bidtab.pdf,True
180020,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,2,644226.75,180020bidtab.pdf,False
180024,KOKOSING CONSTRUCTION COMPANY INC,886 MC KINLEY AVE,COLUMBUS,OH,43222,Franklin,1,1743669.25,180024bidtab.pdf,True
180024,ERIE BLACKTOP INC,4507 TIFFIN AVE,SANDUSKY,OH,44870,Erie,2,1754473.05,180024bidtab.pdf,False
180024,BURTON SCOT CONTRACTORS LLC,11330 KINSMAN RD,NEWBURY,OH,44065,Geauga,3,1792566.85,180024bidtab.pdf,False
180024,BARBICAS CONSTRUCTION COMPANY INC,124 DARROW RD,AKRON,OH,44305,Summit,4,1815539.0,180024bidtab.pdf,False
180024,CHAGRIN VALLEY PAVING INC,17290 MUNN RD,CHAGRIN FALLS,OH,44023,Geauga,5,1844310.25,180024bidtab.pdf,False
180025,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,1,1661600.33,180025bidtab.pdf,True
180025,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,2,1716603.95,180025bidtab.pdf,False
180025,DARBY CREEK EXCAVATING INC,19524 London Road,CIRCLEVILLE,OH,43113,Pickaway,3,1773118.62,180025bidtab.pdf,False
180025,A & B ASPHALT CORPORATION,1780 ENON RD,SPRINGFIELD,OH,45502,Clark,4,1782750.39,180025bidtab.pdf,False
180025,KOKOSING CONSTRUCTION COMPANY INC,886 MC KINLEY AVE,COLUMBUS,OH,43222,Franklin,5,1979960.04,180025bidtab.pdf,False
180028,JOHN R JURGENSEN COMPANY,11641 MOSTELLER RD,CINCINNATI,OH,45241,Hamilton,1,947776.87,180028bidtab.pdf,True
180028,BARRETT PAVING MATERIALS INC,3751 COMMERCE DR,Franklin,OH,45055,Butler,2,1043512.5,180028bidtab.pdf,False
180029,RONYAK PAVING INC,14376 N CHESHIRE ST,BURTON,OH,44021,Geauga,1,1379899.44,180029bidtab.pdf,True
180029,SHELLY & SANDS INC,1515 HARMON AVE,COLUMBUS,OH,43223,Franklin,2,1455988.9,180029bidtab.pdf,False
180029,CHAGRIN VALLEY PAVING INC,17290 MUNN RD,CHAGRIN FALLS,OH,44023,Geauga,3,1480108.55,180029bidtab.pdf,False
180029,AMERICON INDUSTRIAL SERVICES LLC,3651 LEHARPS RD,AUSTINTOWN,OH,44515,Mahoning,4,1649719.71,180029bidtab.pdf,False
180029,SHELLY COMPANY,80 PARK DR BOX 266,THORNVILLE,OH,43076,Perry,5,1681379.33,180029bidtab.pdf,False
180029,BARBICAS CONSTRUCTION COMPANY INC,124 DARROW RD,AKRON,OH,44305,Summit,6,1760309.1,180029bidtab.pdf,False
180029,BURTON SCOT CONTRACTORS LLC,11330 KINSMAN RD,NEWBURY,OH,44065,Geauga,7,1813382.92,180029bidtab.pdf,False
