state,county,fips,year,project_start,project_id,route,mileage,lanes,project_duration_days,eng_estimate_mils,win_bid_mils,cost_mils,num_bidders,bidders_list,all_routes,cost_overrun_pct,Project Num
Ohio,Seneca,39147,2018,2018-05-24 00:00:00,92128,635,,2.0,160.0,1.946,1.60491497,1.91018936,2.0,,"['635', '635']",19.021218924763357,180329
Ohio,Wayne,39169,2018,2018-05-24 00:00:00,102936,3,,2.0,120.0,1.07,1.0140021,1.00630198,7.0,,['3'],-0.7593790979328324,180330
Ohio,Wayne,39169,2018,2018-05-24 00:00:00,101261,57,,4.0,176.0,1.765,1.9057456,1.90857261,4.0,,"['57', '57', '57', '57']",0.1483414155593407,180331
Ohio,Washington,39167,2018,2018-05-24 00:00:00,107725,60,,2.0,99.0,3.448,3.5080558500000003,3.49929601,1.0,,"['60', '60']",-0.2497064007689794,187023
Ohio,Ashland,39005,2018,2018-06-12 00:00:00,94392,224,,2.0,141.0,1.468,1.5688661000000002,1.53125862,4.0,,"['224', '224', '224']",-2.397112156352931,180345
Ohio,Perry,39127,2018,2018-06-12 00:00:00,93137,216 / 155 / 595 / 93,,2.0,125.0,2.248,2.20924635,2.51377657,2.0,,"['595', '155', '216', '93']",13.784348676189948,180364
Ohio,Richland,39139,2018,2018-06-12 00:00:00,94401,39 / 309,,4.0,141.0,3.643,3.30699506,3.4746289900000003,2.0,,"['39', '39', '309']",5.069071073846722,180367
Ohio,Franklin,39049,2018,2018-06-28 00:00:00,79668,70 / 25421,,4.0,429.0,4.983,5.3921389,5.49706661,3.0,,"['25421', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70', '70']",1.9459385588156883,180355
Ohio,Butler,39017,2018,2018-06-28 00:00:00,91864,747,,4.0,398.0,2.553,2.5480102,2.46929829,2.0,,['747'],-3.089152076392786,180385
Ohio,Tuscarawas,39157,2018,2018-06-28 00:00:00,102482,542 / 183,,2.0,94.0,0.59,0.4943708599999999,0.48150464,4.0,,"['183', '183', '542', '183', '183']",-2.602544170989352,180386
Ohio,Franklin,39049,2018,2018-06-28 00:00:00,105137,270,,4.0,382.0,5.128,5.24048225,5.13458771,3.0,,"['270', '270']",-2.020702197779612,180391
Ohio,Henry,39069,2018,2018-06-28 00:00:00,95716,24,,4.0,95.0,1.922,2.32414997,2.35175429,1.0,,"['24', '24', '24', '24']",1.187716815021193,180394
Ohio,Meigs,39105,2018,2018-07-02 00:00:00,91742,143 / 124,,2.0,122.0,3.177,3.4077988500000003,3.35805,1.0,,"['143', '124', '124']",-1.459852890084762,180398
Ohio,Monroe,39111,2018,2018-06-28 00:00:00,84539,145 / 26,,2.0,140.0,1.957,1.84041455,1.91933762,2.0,,"['145', '26', '145', '26']",4.288331126267182,180399
Ohio,Montgomery,39113,2018,2018-06-28 00:00:00,97667,725,,4.0,125.0,1.167,1.118318,1.04178291,2.0,,['725'],-6.843768051663295,180400
Ohio,Morgan,39115,2018,2018-06-28 00:00:00,96644,266,,2.0,126.0,2.906,3.18515215,3.14327787,1.0,,"['266', '266']",-1.3146712630352697,180401
Ohio,Richland,39139,2018,2018-06-28 00:00:00,87721,71,,4.0,429.0,8.513,8.5666362,8.32390471,2.0,,"['71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71', '71']",-2.8334515944542957,180403
Ohio,Trumbull,39155,2018,2018-06-28 00:00:00,94114,534,,2.0,94.0,1.199,1.11904046,1.08906786,6.0,,"['534', '534', '534', '534', '534', '534', '534']",-2.6784196882389573,180406
Ohio,Champaign,39021,2018,2018-07-19 00:00:00,100922,235 / 29,,2.0,88.0,0.636,0.7307800999999999,0.79868421,3.0,,"['29', '235']",9.292003162100348,180413
Ohio,Hancock,39063,2018,2018-07-19 00:00:00,93678,330 / 568,,2.0,104.0,2.079,1.92482905,1.93946931,3.0,,"['568', '568', '330']",0.760600532291424,180420
Ohio,Hocking,39073,2018,2018-07-19 00:00:00,96642,180 / 374,,2.0,105.0,1.946,1.8929999,1.96659268,2.0,,"['180', '374', '374']",3.8876272523839024,180421
Ohio,Richland,39139,2018,2018-07-19 00:00:00,102954,598 / 39 / 13 / 103,,2.0,345.0,3.361,3.22366259,3.22592073,3.0,,"['598', '103', '13', '598', '39', '13', '13', '13', '598', '39', '13']",0.0700488942920018,180422
Ohio,District 7,39021,2018,2018-07-19 00:00:00,105326,55,,2.0,88.0,0.663,0.75498775,0.78131273,1.0,,"['55', '55']",3.4868088919323594,180424
